"Rowid_","ID","YEAR","FULL_ADDRE","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE","Join_id","String","CHECK","AFFILIAT_0","AFFILIAT1","UPDATETAG","State","US_county_id","US_county_name","US_metro_id","US_metro_name","Other_metro","Europe_NUTS_3_rev"
69,"WOS:000304236400004",2012,"Univ Autonoma Barcelona, Inst Fis Altes Energies, E-08193 Barcelona, Spain","Barcelona"," ","Spain",41.387298584,2.1686398983,"ES511","Barcelona Catalonia Spain","old mapped address",723,816,0," "," "," "," "," "," ","ES511"
70,"WOS:000307269400009",2012,"Univ Pisa, Dipartimento Fis E Fermi, Pisa, Italy","Pisa"," ","Italy",43.7366981506,10.3984003067,"ITI17","Pisa Tosc. Italy","old manual",199,786,0," "," "," "," "," "," ","ITI17"
71,"WOS:000314401500009",2012,"Univ Iowa, Coll Pharm, Iowa City, IA 52242 USA","Iowa City","IA","USA",41.6578216553,-91.5265274048,26980,"Iowa City IA United States","old mapped address",1105,1111,0,"Iowa",465240,"Johnson County",26980,"Iowa City, IA Metro Area"," "," "
72,"WOS:000257290000007",2008,"Penn State Univ, University Pk, PA 16802 USA","University Pk","PA","USA",40.7995681763,-77.8606872559,44300,"University Park PA United States","old mapped address",1234,1245,0,"Pennsylvania",1214720,"Centre County",44300,"State College, PA Metro Area"," "," "
73,"WOS:000288903700014",2011,"Karolinska Univ Hosp, Karolinska Inst, Dept Med, Cardiol Unit, Stockholm, Sweden","Stockholm"," ","Sweden",59.3525009155,18.0326004028,"SE110","Stockholm Stockholm County Sweden","old mapped address",838,930,0," "," "," "," "," "," ","SE110"
74,"WOS:000305463400059",2012,"Natl Radio Astron Observ, Charlottesville, VA 22903 USA","Charlottesville","VA","USA",38.0321311951,-78.4775314331,16820,"Charlottesville VA United States","old mapped address",1034,1157,0,"Virginia",1789068,"Charlottesville city",16820,"Charlottesville, VA Metro Area"," "," "
75,"WOS:000322446800218",2013,"Univ Texas Hlth Sci Ctr San Antonio, San Antonio, TX 78229 USA","San Antonio","TX","USA",29.4245796204,-98.4946136475,41700,"San Antonio TX United States","old mapped address",1163,1168,0,"Texas",1383800,"Bexar County",41700,"San Antonio-New Braunfels, TX Metro Area"," "," "
76,"WOS:000262979800005",2009,"Northwestern Univ, Evanston, IL 60208 USA","Evanston","IL","USA",42.05701828,-87.6864471436,16980,"Evanston IL United States","old manual",847,1034,0,"Illinois",1784766,"Cook County",16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"," "," "
77,"WOS:000265131100008",2008,"Univ Texas, Inst Cellular & Mol Biol, Austin, TX USA","Austin","TX","USA",30.2675895691,-97.7429885864,12420,"Austin TX United States","old mapped address",1081,1115,0,"Texas",1384012,"Travis County",12420,"Austin-Round Rock, TX Metro Area"," "," "
78,"WOS:000259757402544",2008,"Baylor Coll Med, Davis, CA USA","Davis","CA","USA",38.5466918945,-121.744567871,40900,"Davis CA United States","old mapped address",819,1002,0,"California",277321,"Yolo County",40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area"," "," "
79,"WOS:000253323000011",2008,"Univ Helsinki, Cent Hosp, Dept Clin Physiol & Nucl Med, Helsinki, Finland","Helsinki"," ","Finland",60.2080001831,24.89909935,"FI1B1","Helsinki Southern Finland Finland","old mapped address",733,909,0," "," "," "," "," "," ","FI1B1"
80,"WOS:000267701300010",2009,"Ctr Invest Energet Medioambientales & Tecnol, E-28040 Madrid, Spain","Madrid"," ","Spain",40.4202804565,-3.7057700157,"ES300","Madrid Community of Madrid Spain","old mapped address",933,1032,0," "," "," "," "," "," ","ES300"
81,"WOS:000303221800006",2012,"Univ Munich, Fak Phys, Munich, Germany","Munich"," ","Germany",48.1390991211,11.5144996643,"DE212","Munich BY Germany","old manual",577,737,0," "," "," "," "," "," ","DE212"
82,"WOS:000276194200020",2010,"Univ Notre Dame, Notre Dame, IN 46556 USA","Notre Dame","IN","USA",41.6993293762,-86.2387924194,43780,"Notre Dame IN United States","old mapped address",1007,1208,0,"Indiana",452855,"St. Joseph County",43780,"South Bend-Mishawaka, IN-MI Metro Area"," "," "
83,"WOS:000318009801059",2012,"Oregon Hlth & Sci Univ, Portland, OR 97201 USA","Portland","OR","USA",45.5117912292,-122.675628662,38900,"Portland OR United States","old mapped address",1024,1030,0,"Oregon",1135861,"Multnomah County",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"," "," "
84,"WOS:000272002300013",2009,"Texas A&M Univ, Zachry Dept Civil Engn, College Stn, TX 77843 USA","College Stn","TX","USA",30.6205406189,-96.3258972168,17780,"College Station TX United States","old mapped address",786,954,0,"Texas",1383806,"Brazos County",17780,"College Station-Bryan, TX Metro Area"," "," "
85,"WOS:000266711000003",2009,"Univ Maryland, Sch Nursing, College Pk, MD 20742 USA","College Pk","MD","USA",38.98072052,-76.9372711182,47900,"College Park MD United States","old mapped address",888,963,0,"Maryland",1714670,"Prince George's County",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"," "," "
86,"WOS:000325488500004",2013,"Sandia Natl Labs, Albuquerque, NM 87123 USA","Albuquerque","NM","USA",35.0841789246,-106.648643494,10740,"Albuquerque NM United States","old mapped address",845,908,0,"New Mexico",1702363,"Bernalillo County",10740,"Albuquerque, NM Metro Area"," "," "
87,"WOS:000313945300002",2013,"Ist Nazl Fis Nucl, Sez Bologna, Milan, Italy","Milan"," ","Italy",45.4519996643,9.1927700043,"ITC4C","Milan Lomb. Italy","old manual",633,714,0," "," "," "," "," "," ","ITC4C"
88,"WOS:000322759500066",2013,"Univ S Florida, Tampa, FL USA","Tampa","FL","USA",27.9465293884,-82.4592666626,45300,"Tampa FL United States","old mapped address",873,873,0,"Florida",295757,"Hillsborough County",45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area"," "," "
89,"WOS:000300275600013",2012,"Brookhaven Natl Lab, Ctr Funct Nanomat, Electron Microscope Grp, Upton, NY 11973 USA","Upton","NY","USA",40.862739563,-72.8876037598,35620,"Upton NY United States","old mapped address",317,580,0,"New York",974149,"Suffolk County",35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"," "," "
90,"WOS:000321101400016",2013,"Univ Colorado, Dept Med, Div Pulm Sci & Crit Care Med, Denver, CO USA","Denver","CO","USA",39.7400093079,-104.992301941,19740,"Denver CO United States","old mapped address",773,773,0,"Colorado",198131,"Denver County",19740,"Denver-Aurora-Lakewood, CO Metro Area"," "," "
