id, name, Metro_name, latitude, longitude, mergeList, totalDegree
530,"Sumburgh","UKM66",59.878889,-1.295556,530|539|5565|5570|5656|5658|6454|8567|,1200.0
153,"Val D Or","Val D'or",48.053333,-77.782778,153|,1200.0
162,"Williams Lake","Williams Lake",52.183056,-122.054167,162|,1200.0
6092,"Poliarny Airport","Yakutia",66.400431,112.030325,6092|,1200.0
974,"Beira","Beira",-19.796419,34.907556,974|,1194.0
5552,"Batna Airport","Batna",35.752106,6.308589,5552|,1188.0
4365,"Noyabrsk","Noyabrsk",63.110079,75.162243,4365|,1176.0
5697,"Gamal Abdel Nasser Airport","Tobruk",31.861,23.907,5697|,1170.0
2955,"Abakan","Abakan",53.74,91.385,2955|,1160.0
988,"Tete Chingodzi","Tete",-16.104817,33.640181,988|,1160.0
6034,"Orlando Bezerra de Menezes Airport","Juazeiro Do Norte",-7.218958,-39.2701,6034|,1156.0
2249,"Marshall Islands Intl","Majuro",7.064758,171.272022,2249|,1152.0
3247,"Jalaluddin","Gorontalo",0.637119,122.849858,3247|,1150.0
1546,"Rimini","ITH59",44.020292,12.611747,1546|,1150.0
4200,"Butuan","Butuan",8.951322,125.477972,4200|,1148.0
3356,"Coffs Harbour","Coff's Harbour",-30.320556,153.116389,3356|,1140.0
4204,"Ozamis","Ozamis",8.178508,123.841731,4204|,1140.0
155,"Norman Wells","Norman Wells",65.281617,-126.798219,155|,1136.0
3270,"Labuan","Labuan",5.300683,115.250181,3270|,1126.0
6151,"Nukus Airport","Nukus",42.4884,59.6233,6151|,1126.0
2642,"Balmaceda","Balmaceda",-45.916058,-71.689475,2642|,1122.0
5965,"McGrath Airport",1419987,62.9529,-155.606,5965|3420|3764|3417|6722|7113|7090|6717|7108|7111|7219|6713|5962|6839|7105|7107|7114|7208|3423|6729|7110|7112|7115|7116|7118|7119|7214|7215|7236|7246|3419|7109|7245|8052|,1120.0
27,"Baie Comeau","Baie Comeau",49.1325,-68.204444,27|,1120.0
7373,"Barreiras Airport","Barreiras",-12.083333,-45.0,7373|,1120.0
5672,"Hassan I Airport","El AaiĂşn",27.1517,-13.2192,5672|,1120.0
1,"Goroka","Goroka",-6.081689,145.391881,1|,1120.0
